service,distance,experience,is_peak_hour,rain_ratio,completion_time
Sửa chữa và bảo dưỡng điện dân dụng,24,2.115844811913079,1,1.0,172
Sửa chữa và bảo dưỡng hệ thống nước,26,2.418885485722475,0,1.0,186
Sửa chữa và bảo dưỡng máy tính,2,17.703665012926507,1,0.5,56
Sửa chữa và bảo dưỡng điện thoại,7,21.425011389646546,0,0.5,67
Sửa chữa và bảo dưỡng nồi cơm điện,36,17.805915649715843,0,0.0,95
Sửa chữa và bảo dưỡng quạt điện,16,1.4323964118813746,0,1.0,85
Sửa chữa và bảo dưỡng nồi cơm điện,15,19.296181471273552,1,0.5,67
Sửa chữa và bảo dưỡng TV,26,0.1637867592583588,0,0.0,170
Sửa chữa và bảo dưỡng điện thoại,20,5.613125861382457,1,0.5,92
Sửa chữa và bảo dưỡng điện dân dụng,13,16.52890325779841,1,0.0,107
Sửa chữa và bảo dưỡng máy giặt,21,6.8170843579401215,0,1.0,169
Sửa chữa và bảo dưỡng máy tính,44,25.132468462980317,0,0.0,131
Sửa chữa và bảo dưỡng điện dân dụng,10,2.261743213020877,0,0.0,109
Sửa chữa và bảo dưỡng nồi cơm điện,8,5.864900599063572,0,0.5,56
Sửa chữa và bảo dưỡng máy in,8,4.66776837086869,1,1.0,97
Sửa chữa và bảo dưỡng lò vi sóng,19,7.021528602723502,1,0.5,106
Sửa chữa và bảo dưỡng máy in,36,10.59944709051411,0,0.0,125
Sửa chữa và bảo dưỡng quạt điện,9,3.9624518454914175,1,1.0,68
Sửa chữa và bảo dưỡng điện dân dụng,11,13.556150219218246,0,0.0,76
Sửa chữa và bảo dưỡng xe máy,34,5.391319740162271,0,0.0,131
Sửa chữa và bảo dưỡng quạt điện,9,5.9159334474992376,0,0.5,56
Sửa chữa và bảo dưỡng TV,12,2.557403520566982,0,1.0,133
Sửa chữa và bảo dưỡng điện thoại,6,15.99556262918199,1,0.5,58
Sửa chữa và bảo dưỡng máy giặt,35,4.456467363540791,0,0.5,186
Sửa chữa và bảo dưỡng nồi cơm điện,15,4.886660719550492,1,0.5,82
Sửa chữa và bảo dưỡng nồi cơm điện,8,10.866080990494346,0,1.0,54
Sửa chữa và bảo dưỡng laptop,3,15.570262936949444,1,0.5,89
Sửa chữa và bảo dưỡng máy tính,9,24.63008286290094,1,0.0,67
Sửa chữa và bảo dưỡng xe máy,8,0.8970359798763291,0,0.0,97
Sửa chữa và bảo dưỡng nồi cơm điện,33,1.6776086539507045,1,0.0,126
Sửa chữa và bảo dưỡng quạt điện,28,1.441104320271656,1,0.0,100
Sửa chữa và bảo dưỡng quạt điện,43,10.405058743706329,0,0.0,96
Sửa chữa và bảo dưỡng ô tô,18,5.942216490092898,1,1.0,247
Sửa chữa và bảo dưỡng máy tính,15,6.707038003055247,0,0.0,81
Sửa chữa và bảo dưỡng hệ thống nước,13,11.66286323906452,0,1.0,119
Sửa chữa và bảo dưỡng lò vi sóng,13,6.848231546742704,0,1.0,106
Sửa chữa và bảo dưỡng laptop,9,9.104534629329413,0,0.0,83
Sửa chữa và bảo dưỡng ô tô,14,2.8100426107739604,1,0.5,252
Sửa chữa và bảo dưỡng máy tính,22,28.3774163474788,0,0.0,80
Sửa chữa và bảo dưỡng máy in,22,23.527824952900996,1,1.0,103
Sửa chữa và bảo dưỡng máy in,32,12.514554235812277,1,0.0,121
Sửa chữa và bảo dưỡng TV,23,0.3803897945602025,0,1.0,178
Sửa chữa và bảo dưỡng ô tô,11,18.387034684709917,0,1.0,190
Sửa chữa và bảo dưỡng máy in,27,12.251758842319123,0,0.0,88
Sửa chữa và bảo dưỡng quạt điện,41,25.47693675680907,0,1.0,109
Sửa chữa và bảo dưỡng máy in,2,0.936560681160626,0,0.0,89
Sửa chữa và bảo dưỡng laptop,5,5.575547796691868,0,0.5,94
Sửa chữa và bảo dưỡng xe máy,41,4.440516048855864,0,0.0,146
Sửa chữa và bảo dưỡng máy tính,37,24.44300816289515,1,1.0,142
Sửa chữa và bảo dưỡng TV,5,1.63555231086526,0,1.0,122
Sửa chữa và bảo dưỡng quạt điện,30,2.470047481211657,0,1.0,121
Sửa chữa và bảo dưỡng quạt điện,7,15.037505964694825,0,0.5,25
Sửa chữa và bảo dưỡng laptop,29,1.1045002740704084,0,0.0,141
Sửa chữa và bảo dưỡng máy giặt,7,7.697289248940201,1,0.0,145
Sửa chữa và bảo dưỡng TV,46,23.22035821872872,0,0.0,158
Sửa chữa và bảo dưỡng điện thoại,17,24.97078173551321,1,1.0,92
Sửa chữa và bảo dưỡng điện dân dụng,7,2.450031848059385,1,1.0,123
Sửa chữa và bảo dưỡng ô tô,23,5.859553078795755,0,1.0,242
Sửa chữa và bảo dưỡng máy tính,16,0.0812080594108953,1,0.5,138
Sửa chữa và bảo dưỡng hệ thống nước,7,5.058047891926858,1,1.0,134
Sửa chữa và bảo dưỡng máy in,25,3.182863338149396,1,0.0,126
Sửa chữa và bảo dưỡng quạt điện,7,7.620834786150431,0,0.5,46
Sửa chữa và bảo dưỡng nồi cơm điện,10,2.678449915827266,1,1.0,90
Sửa chữa và bảo dưỡng tủ lạnh,2,0.188903645398731,1,0.0,127
Sửa chữa và bảo dưỡng điện dân dụng,19,23.77775890934984,0,1.0,116
Sửa chữa và bảo dưỡng điện dân dụng,27,6.901931910015882,0,1.0,142
Sửa chữa và bảo dưỡng lò vi sóng,13,15.229021759312785,1,0.0,90
Sửa chữa và bảo dưỡng hệ thống nước,14,5.981260893043403,0,0.5,127
Sửa chữa và bảo dưỡng máy lạnh,6,21.59408456284274,1,1.0,152
Sửa chữa và bảo dưỡng laptop,5,19.91253642794577,0,0.0,73
Sửa chữa và bảo dưỡng máy in,2,4.804771768693761,0,0.0,61
Sửa chữa và bảo dưỡng máy giặt,4,4.740547955824621,0,0.0,117
Sửa chữa và bảo dưỡng xe máy,4,22.35140160776715,0,1.0,88
Sửa chữa và bảo dưỡng TV,31,16.06946111028231,0,0.0,141
Sửa chữa và bảo dưỡng hệ thống nước,16,25.19283850473463,0,0.5,117
Sửa chữa và bảo dưỡng máy giặt,37,26.189033496549577,1,0.0,183
Sửa chữa và bảo dưỡng xe máy,24,5.409218624461289,0,0.0,129
Sửa chữa và bảo dưỡng laptop,3,2.990719244114385,1,0.5,98
Sửa chữa và bảo dưỡng laptop,4,1.1584020047184218,1,0.0,109
Sửa chữa và bảo dưỡng máy lạnh,6,2.7702198189551845,0,0.0,145
Sửa chữa và bảo dưỡng TV,39,22.993504449902336,0,0.0,137
Sửa chữa và bảo dưỡng ô tô,6,4.007739433274723,0,0.0,177
Sửa chữa và bảo dưỡng điện thoại,6,0.832556371643522,0,0.0,83
Sửa chữa và bảo dưỡng hệ thống nước,30,22.26362288676538,1,1.0,170
Sửa chữa và bảo dưỡng TV,7,6.533707591196522,1,1.0,130
Sửa chữa và bảo dưỡng laptop,10,28.63449961929243,0,1.0,93
Sửa chữa và bảo dưỡng hệ thống nước,49,11.513520996010229,0,1.0,187
Sửa chữa và bảo dưỡng máy giặt,12,0.0270495829555683,0,0.0,166
Sửa chữa và bảo dưỡng xe máy,24,28.38215673021732,0,1.0,124
Sửa chữa và bảo dưỡng máy tính,39,9.798392000985,1,1.0,149
Sửa chữa và bảo dưỡng lò vi sóng,31,0.8659561449388976,0,0.5,163
Sửa chữa và bảo dưỡng ô tô,13,28.091731136239297,0,1.0,178
Sửa chữa và bảo dưỡng máy lạnh,6,2.323091528527752,0,0.5,137
Sửa chữa và bảo dưỡng tủ lạnh,9,6.15914865758759,0,1.0,122
Sửa chữa và bảo dưỡng xe máy,3,0.5047386480839865,1,1.0,117
Sửa chữa và bảo dưỡng tủ lạnh,6,15.645955238321296,1,1.0,113
Sửa chữa và bảo dưỡng quạt điện,1,8.613134970264746,0,1.0,28
Sửa chữa và bảo dưỡng máy giặt,17,2.8218175812722337,0,0.5,139
Sửa chữa và bảo dưỡng máy lạnh,20,22.454642160805253,0,0.5,163
Sửa chữa và bảo dưỡng laptop,24,16.166045814556874,1,0.5,109
Sửa chữa và bảo dưỡng quạt điện,20,20.00723016276412,0,0.0,57
Sửa chữa và bảo dưỡng điện thoại,4,2.5376172893308007,0,0.0,70
Sửa chữa và bảo dưỡng máy lạnh,43,18.49747197836461,0,0.5,211
Sửa chữa và bảo dưỡng hệ thống nước,8,26.37986016044917,1,1.0,138
Sửa chữa và bảo dưỡng máy tính,41,0.7342318217964903,0,0.0,154
Sửa chữa và bảo dưỡng nồi cơm điện,20,13.066158167089272,0,1.0,79
Sửa chữa và bảo dưỡng lò vi sóng,20,5.361151248009827,1,0.5,133
Sửa chữa và bảo dưỡng máy tính,6,0.4968605751987502,1,0.0,108
Sửa chữa và bảo dưỡng tủ lạnh,13,0.9078141701038722,0,0.0,134
Sửa chữa và bảo dưỡng tủ lạnh,5,2.8731433461317697,1,0.0,138
Sửa chữa và bảo dưỡng TV,31,0.533048801417452,0,0.5,167
Sửa chữa và bảo dưỡng điện thoại,29,6.235568762215024,1,1.0,132
Sửa chữa và bảo dưỡng máy in,35,0.2046950100121698,0,0.0,158
Sửa chữa và bảo dưỡng điện thoại,22,26.48791473268692,0,0.0,72
Sửa chữa và bảo dưỡng máy tính,10,18.769696057362676,1,0.0,75
Sửa chữa và bảo dưỡng máy giặt,1,1.92124053188693,0,0.5,123
Sửa chữa và bảo dưỡng quạt điện,40,29.262530176638077,0,1.0,117
Sửa chữa và bảo dưỡng máy lạnh,39,2.24589984145772,0,0.5,209
Sửa chữa và bảo dưỡng laptop,27,6.304159913626617,1,0.0,152
Sửa chữa và bảo dưỡng máy in,21,23.413727976336894,1,0.0,89
Sửa chữa và bảo dưỡng máy lạnh,6,25.24611004746695,0,1.0,136
Sửa chữa và bảo dưỡng điện dân dụng,21,22.2357404680277,1,0.0,132
Sửa chữa và bảo dưỡng tủ lạnh,16,2.3003255985779654,1,0.5,159
Sửa chữa và bảo dưỡng quạt điện,10,1.400631918127369,1,0.5,72
Sửa chữa và bảo dưỡng ô tô,46,2.5187769658714783,0,1.0,311
Sửa chữa và bảo dưỡng xe máy,26,26.729903150533108,1,0.0,118
Sửa chữa và bảo dưỡng tủ lạnh,17,2.196273720668188,0,0.0,146
Sửa chữa và bảo dưỡng máy in,31,6.638350773013727,0,1.0,142
Sửa chữa và bảo dưỡng máy lạnh,10,6.786807382679847,1,0.5,151
Sửa chữa và bảo dưỡng máy giặt,4,15.920431509976003,0,0.5,112
Sửa chữa và bảo dưỡng điện thoại,27,24.594659523275286,0,1.0,101
Sửa chữa và bảo dưỡng máy in,5,1.6611507454766303,1,0.0,92
Sửa chữa và bảo dưỡng tủ lạnh,24,1.9624022249200133,1,0.0,176
Sửa chữa và bảo dưỡng điện thoại,47,7.526284385615561,0,0.5,149
Sửa chữa và bảo dưỡng xe máy,7,7.940625068490634,0,0.0,67
Sửa chữa và bảo dưỡng máy giặt,7,0.8865311681139894,0,0.5,156
Sửa chữa và bảo dưỡng xe máy,24,14.126138504215715,1,0.5,113
Sửa chữa và bảo dưỡng máy in,24,18.30599554718147,1,1.0,122
Sửa chữa và bảo dưỡng điện thoại,13,11.14769457315978,0,0.5,74
Sửa chữa và bảo dưỡng ô tô,18,2.4185898350088597,1,0.0,263
Sửa chữa và bảo dưỡng lò vi sóng,2,1.6290726878909876,0,0.0,93
Sửa chữa và bảo dưỡng TV,35,1.196115379718696,1,0.5,186
Sửa chữa và bảo dưỡng quạt điện,33,1.2794746204786798,0,1.0,117
Sửa chữa và bảo dưỡng nồi cơm điện,1,4.957006472863994,1,0.5,58
Sửa chữa và bảo dưỡng máy tính,20,10.058121617697292,0,0.0,81
Sửa chữa và bảo dưỡng máy giặt,21,3.0864676637168635,0,0.5,145
Sửa chữa và bảo dưỡng máy tính,23,1.6991676887310765,1,0.5,135
Sửa chữa và bảo dưỡng máy in,27,3.277353475696981,0,1.0,128
Sửa chữa và bảo dưỡng quạt điện,9,16.351552797499167,0,0.5,32
Sửa chữa và bảo dưỡng TV,3,6.918531625582832,0,1.0,91
Sửa chữa và bảo dưỡng máy lạnh,34,0.5400669205922535,1,1.0,274
Sửa chữa và bảo dưỡng lò vi sóng,30,5.254000161108802,0,1.0,141
Sửa chữa và bảo dưỡng lò vi sóng,24,7.719521400075408,0,0.5,120
Sửa chữa và bảo dưỡng máy in,3,7.544191723649527,0,0.0,63
Sửa chữa và bảo dưỡng điện thoại,6,2.545245985258684,0,0.0,62
Sửa chữa và bảo dưỡng máy tính,7,18.027579680335258,1,1.0,85
Sửa chữa và bảo dưỡng điện thoại,14,4.081951191705045,0,0.0,81
Sửa chữa và bảo dưỡng máy giặt,39,0.9375888627850884,1,0.0,217
Sửa chữa và bảo dưỡng lò vi sóng,8,18.753957554753825,0,0.0,68
Sửa chữa và bảo dưỡng máy lạnh,34,3.6447727801064858,1,0.5,223
Sửa chữa và bảo dưỡng lò vi sóng,2,3.7471234562471536,0,0.0,77
Sửa chữa và bảo dưỡng TV,11,5.091790167333441,0,0.0,108
Sửa chữa và bảo dưỡng laptop,22,7.766940660011759,0,0.0,118
Sửa chữa và bảo dưỡng nồi cơm điện,16,7.305484048923758,0,0.5,83
Sửa chữa và bảo dưỡng laptop,26,25.124159058185544,1,0.5,133
Sửa chữa và bảo dưỡng xe máy,7,16.191803201054192,0,1.0,85
Sửa chữa và bảo dưỡng máy lạnh,7,3.2442697829643894,1,0.0,134
Sửa chữa và bảo dưỡng lò vi sóng,33,2.018804706859051,1,1.0,167
Sửa chữa và bảo dưỡng máy giặt,37,1.2253948999662168,0,1.0,182
Sửa chữa và bảo dưỡng hệ thống nước,21,0.5385042158730043,1,1.0,198
Sửa chữa và bảo dưỡng hệ thống nước,12,4.941848898780546,1,0.0,143
Sửa chữa và bảo dưỡng tủ lạnh,10,1.8299721864451663,0,0.0,148
Sửa chữa và bảo dưỡng TV,25,2.079089006695108,1,0.5,149
Sửa chữa và bảo dưỡng xe máy,9,27.55540853520308,0,1.0,86
Sửa chữa và bảo dưỡng hệ thống nước,16,2.535560092829348,1,0.5,150
Sửa chữa và bảo dưỡng xe máy,22,14.07832135373436,0,0.0,101
Sửa chữa và bảo dưỡng máy tính,22,26.063926113567764,0,0.0,91
Sửa chữa và bảo dưỡng máy giặt,30,9.378676701135314,1,1.0,185
Sửa chữa và bảo dưỡng xe máy,14,6.392969435421293,1,0.0,107
Sửa chữa và bảo dưỡng nồi cơm điện,43,1.2443905331645344,1,0.0,148
Sửa chữa và bảo dưỡng laptop,35,2.0372396414104483,0,1.0,190
Sửa chữa và bảo dưỡng máy giặt,18,18.362707248637648,1,1.0,151
Sửa chữa và bảo dưỡng máy in,42,25.498934837658723,0,0.0,139
Sửa chữa và bảo dưỡng điện thoại,17,3.808581439371152,0,0.5,85
Sửa chữa và bảo dưỡng điện thoại,3,7.010435230883724,0,0.0,61
Sửa chữa và bảo dưỡng TV,19,1.1824685404018376,0,1.0,142
Sửa chữa và bảo dưỡng laptop,40,7.196578738750479,1,0.0,159
Sửa chữa và bảo dưỡng máy giặt,35,25.419543417180336,0,0.0,146
Sửa chữa và bảo dưỡng xe máy,1,6.9239792505575934,0,0.0,56
Sửa chữa và bảo dưỡng tủ lạnh,2,20.69780418152901,1,0.5,101
Sửa chữa và bảo dưỡng lò vi sóng,2,16.40099831006408,0,0.0,58
Sửa chữa và bảo dưỡng lò vi sóng,2,7.746828248906823,0,0.0,64
Sửa chữa và bảo dưỡng máy tính,19,1.0035190889955206,1,0.0,129
Sửa chữa và bảo dưỡng quạt điện,31,24.11847417204928,0,0.5,89
Sửa chữa và bảo dưỡng TV,36,7.878467011670041,0,0.5,277
Sửa chữa và bảo dưỡng laptop,16,27.462177119371677,0,0.0,99
Sửa chữa và bảo dưỡng laptop,4,3.621609005896654,1,0.5,104
Sửa chữa và bảo dưỡng TV,8,0.1463392396900581,1,0.0,135
Sửa chữa và bảo dưỡng TV,30,4.190228384301576,1,0.5,165
Sửa chữa và bảo dưỡng ô tô,14,27.13568700079871,0,1.0,197
Sửa chữa và bảo dưỡng máy in,36,1.710539105961685,0,0.0,154
Sửa chữa và bảo dưỡng máy in,41,2.7438883127023628,0,1.0,167
Sửa chữa và bảo dưỡng điện dân dụng,14,24.77648451215265,0,0.5,106
Sửa chữa và bảo dưỡng nồi cơm điện,1,19.671415747026863,1,0.5,49
Sửa chữa và bảo dưỡng lò vi sóng,39,1.7954841300398274,1,1.0,179
Sửa chữa và bảo dưỡng laptop,41,2.8546273053068028,0,0.5,163
Sửa chữa và bảo dưỡng lò vi sóng,35,17.51352961422537,0,0.5,129
Sửa chữa và bảo dưỡng điện thoại,15,23.96006847030319,1,0.0,74
Sửa chữa và bảo dưỡng TV,36,25.436051354772108,0,0.5,156
Sửa chữa và bảo dưỡng lò vi sóng,2,0.5716837208572099,1,0.5,96
Sửa chữa và bảo dưỡng máy lạnh,13,2.048424258209728,0,0.0,166
Sửa chữa và bảo dưỡng máy lạnh,10,3.601497380125839,0,0.5,173
Sửa chữa và bảo dưỡng hệ thống nước,3,24.974905422486582,1,0.5,123
Sửa chữa và bảo dưỡng lò vi sóng,25,3.7550190973728728,0,1.0,129
Sửa chữa và bảo dưỡng quạt điện,33,3.882152684695581,0,1.0,109
Sửa chữa và bảo dưỡng ô tô,34,4.303840789406413,0,0.5,261
Sửa chữa và bảo dưỡng xe máy,15,4.886264955084709,0,0.0,93
Sửa chữa và bảo dưỡng nồi cơm điện,17,0.0239285020244776,0,0.0,80
Sửa chữa và bảo dưỡng ô tô,14,4.035349233702885,0,1.0,238
Sửa chữa và bảo dưỡng máy giặt,10,26.817704710716825,1,1.0,133
Sửa chữa và bảo dưỡng nồi cơm điện,23,20.54270251267914,0,0.5,85
Sửa chữa và bảo dưỡng máy giặt,33,4.053122036270439,0,0.0,184
Sửa chữa và bảo dưỡng TV,7,11.095891937779944,0,0.0,102
Sửa chữa và bảo dưỡng nồi cơm điện,15,12.56751164336358,1,1.0,80
Sửa chữa và bảo dưỡng điện thoại,18,2.88860891921548,1,1.0,129
Sửa chữa và bảo dưỡng hệ thống nước,9,0.204747917055743,0,0.0,124
Sửa chữa và bảo dưỡng máy lạnh,2,4.526132449407934,0,1.0,144
Sửa chữa và bảo dưỡng lò vi sóng,25,0.705183015030124,0,0.5,140
Sửa chữa và bảo dưỡng laptop,5,22.91733054984593,0,0.5,75
Sửa chữa và bảo dưỡng máy tính,15,3.13882413543515,0,1.0,98
Sửa chữa và bảo dưỡng lò vi sóng,33,7.257882215130871,0,0.0,135
Sửa chữa và bảo dưỡng lò vi sóng,24,18.63040706077171,0,0.5,102
Sửa chữa và bảo dưỡng điện thoại,9,2.1797297123067905,1,0.0,88
Sửa chữa và bảo dưỡng điện thoại,36,3.278675901186596,0,0.5,137
Sửa chữa và bảo dưỡng máy in,13,7.362493911984516,0,1.0,102
Sửa chữa và bảo dưỡng hệ thống nước,17,18.002362739931087,0,1.0,138
Sửa chữa và bảo dưỡng ô tô,36,10.963176931525258,1,0.5,262
Sửa chữa và bảo dưỡng máy lạnh,42,1.7010747381678315,0,1.0,245
Sửa chữa và bảo dưỡng laptop,35,2.692675229658492,0,1.0,165
Sửa chữa và bảo dưỡng điện thoại,16,23.757108841612894,0,0.0,67
Sửa chữa và bảo dưỡng lò vi sóng,10,5.0404855614800255,1,0.5,106
Sửa chữa và bảo dưỡng xe máy,15,0.1249210546080655,1,1.0,144
Sửa chữa và bảo dưỡng máy lạnh,18,6.204203764372764,1,0.0,185
Sửa chữa và bảo dưỡng tủ lạnh,29,2.1120996644689605,1,1.0,186
Sửa chữa và bảo dưỡng máy in,22,14.383730794373152,1,1.0,119
Sửa chữa và bảo dưỡng quạt điện,11,11.806701442123542,1,0.0,48
Sửa chữa và bảo dưỡng lò vi sóng,6,1.1142040937999989,0,0.5,88
Sửa chữa và bảo dưỡng quạt điện,23,0.715255937331085,0,0.0,95
Sửa chữa và bảo dưỡng máy in,15,17.717932595902745,0,0.0,76
Sửa chữa và bảo dưỡng điện dân dụng,13,6.158560513375862,0,0.0,101
Sửa chữa và bảo dưỡng nồi cơm điện,27,28.5176599489437,0,1.0,91
Sửa chữa và bảo dưỡng quạt điện,7,17.09829651075742,0,1.0,32
Sửa chữa và bảo dưỡng quạt điện,36,5.735429461339794,0,0.0,102
Sửa chữa và bảo dưỡng TV,11,2.226891801011216,1,0.0,122
Sửa chữa và bảo dưỡng ô tô,7,22.17751622944987,1,0.5,230
Sửa chữa và bảo dưỡng máy in,25,2.0036032762259706,0,0.5,129
Sửa chữa và bảo dưỡng nồi cơm điện,10,1.7760590011263968,0,0.0,67
Sửa chữa và bảo dưỡng máy in,18,5.295086263740638,0,0.0,99
Sửa chữa và bảo dưỡng hệ thống nước,11,4.253644396221624,0,0.0,107
Sửa chữa và bảo dưỡng máy tính,16,15.89853954403436,0,1.0,87
Sửa chữa và bảo dưỡng máy giặt,22,3.1402160008303683,1,0.5,159
Sửa chữa và bảo dưỡng tủ lạnh,28,2.3802988764748227,0,1.0,185
Sửa chữa và bảo dưỡng TV,16,11.263138072868994,1,0.5,137
Sửa chữa và bảo dưỡng máy giặt,9,6.655685622003098,0,0.0,119
Sửa chữa và bảo dưỡng điện dân dụng,35,3.2480639767385453,0,1.0,156
Sửa chữa và bảo dưỡng máy in,26,10.486288890575182,0,0.0,101
Sửa chữa và bảo dưỡng laptop,14,4.290247586090587,1,0.0,119
Sửa chữa và bảo dưỡng laptop,3,6.945318129906231,0,0.5,80
Sửa chữa và bảo dưỡng nồi cơm điện,14,11.4054049921494,0,1.0,60
Sửa chữa và bảo dưỡng lò vi sóng,21,2.969802406959815,0,0.5,120
Sửa chữa và bảo dưỡng xe máy,18,6.1540413415550494,0,0.5,121
Sửa chữa và bảo dưỡng lò vi sóng,1,4.161455881845615,0,1.0,92
Sửa chữa và bảo dưỡng ô tô,20,5.897641021284212,0,0.0,189
Sửa chữa và bảo dưỡng máy tính,7,24.76435799965362,0,0.0,58
Sửa chữa và bảo dưỡng điện thoại,9,3.82951757940124,0,0.5,74
Sửa chữa và bảo dưỡng ô tô,38,1.43147317542117,0,1.0,305
Sửa chữa và bảo dưỡng lò vi sóng,43,12.876619477021348,0,0.0,134
Sửa chữa và bảo dưỡng hệ thống nước,9,2.990853275887232,0,1.0,150
Sửa chữa và bảo dưỡng quạt điện,25,2.533597152359272,1,1.0,112
Sửa chữa và bảo dưỡng điện dân dụng,4,29.27201847061384,1,0.5,89
Sửa chữa và bảo dưỡng máy lạnh,43,5.9989962272139685,0,1.0,219
Sửa chữa và bảo dưỡng quạt điện,6,2.1388805332932885,0,1.0,66
Sửa chữa và bảo dưỡng nồi cơm điện,13,2.366914666830435,1,0.0,82
Sửa chữa và bảo dưỡng xe máy,9,1.4350798868294894,1,0.0,101
Sửa chữa và bảo dưỡng quạt điện,12,1.079135976440124,0,0.0,60
Sửa chữa và bảo dưỡng quạt điện,8,14.210552224426255,0,1.0,39
Sửa chữa và bảo dưỡng laptop,21,15.273575431794985,1,1.0,122
Sửa chữa và bảo dưỡng quạt điện,14,11.715621584853348,1,1.0,61
Sửa chữa và bảo dưỡng máy in,24,0.9161790002261516,1,0.5,157
Sửa chữa và bảo dưỡng máy tính,21,21.798464856653844,1,0.0,89
Sửa chữa và bảo dưỡng xe máy,11,6.839562184652953,0,1.0,98
Sửa chữa và bảo dưỡng máy in,11,25.27393304202153,1,0.5,87
Sửa chữa và bảo dưỡng máy giặt,4,10.153294064241052,1,1.0,126
Sửa chữa và bảo dưỡng máy tính,28,1.3769535208040065,0,0.5,136
Sửa chữa và bảo dưỡng máy tính,9,1.4755730201712725,0,0.5,88
Sửa chữa và bảo dưỡng máy lạnh,10,3.4029419061770807,0,1.0,159
Sửa chữa và bảo dưỡng máy giặt,17,4.372148784909156,0,0.5,136
Sửa chữa và bảo dưỡng laptop,17,1.3270943974895768,0,1.0,144
Sửa chữa và bảo dưỡng lò vi sóng,37,0.1382193955655174,0,1.0,179
Sửa chữa và bảo dưỡng máy giặt,16,8.693368506675613,0,0.0,147
Sửa chữa và bảo dưỡng điện thoại,36,5.320774265026046,1,0.0,126
Sửa chữa và bảo dưỡng ô tô,44,2.365737650757909,0,0.5,285
Sửa chữa và bảo dưỡng hệ thống nước,3,2.9285441991847643,1,0.5,137
