service,distance,experience,hour,is_peak_hour,rain_ratio,completion_time
Sửa chữa và bảo dưỡng quạt điện,23,0.431576420889898,19,1,1.0,117
Sửa chữa và bảo dưỡng máy tính,17,23.534024140596074,15,1,0.5,99
Sửa chữa và bảo dưỡng quạt điện,35,6.756530182476832,10,0,0.5,105
Sửa chữa và bảo dưỡng máy giặt,47,23.80282212046817,22,0,0.5,213
Sửa chữa và bảo dưỡng máy tính,12,21.63957898413058,5,0,0.0,50
Sửa chữa và bảo dưỡng tủ lạnh,46,0.9868119039900569,21,0,0.5,213
Sửa chữa và bảo dưỡng hệ thống nước,27,17.816527665925,12,0,0.0,134
Sửa chữa và bảo dưỡng lò vi sóng,26,6.348000802760524,20,0,0.0,119
Sửa chữa và bảo dưỡng TV,27,1.1349147389504417,0,0,0.0,154
Sửa chữa và bảo dưỡng TV,7,1.7983013588204089,3,0,0.5,121
Sửa chữa và bảo dưỡng quạt điện,33,21.836971162983495,23,0,0.5,89
Sửa chữa và bảo dưỡng laptop,37,26.70422006791187,11,0,0.5,145
Sửa chữa và bảo dưỡng lò vi sóng,29,5.07479396043885,9,1,1.0,147
Sửa chữa và bảo dưỡng máy giặt,10,0.7236602256836624,10,0,0.5,156
Sửa chữa và bảo dưỡng máy tính,21,4.6025526656590054,18,1,0.5,121
Sửa chữa và bảo dưỡng laptop,42,6.356395325200689,3,0,1.0,168
Sửa chữa và bảo dưỡng ô tô,32,0.10084621388597992,23,0,1.0,278
Sửa chữa và bảo dưỡng nồi cơm điện,14,5.491459762046909,16,1,0.5,79
Sửa chữa và bảo dưỡng quạt điện,6,1.0187560779104863,15,1,0.5,70
Sửa chữa và bảo dưỡng điện dân dụng,13,6.7737104760027,15,1,1.0,139
Sửa chữa và bảo dưỡng xe máy,38,0.4044270060041444,13,0,1.0,188
Sửa chữa và bảo dưỡng ô tô,3,0.346933434194598,0,0,1.0,225
Sửa chữa và bảo dưỡng xe máy,21,2.5834133450365466,21,0,0.5,75
Sửa chữa và bảo dưỡng máy in,13,8.580107733541404,7,1,0.5,91
Sửa chữa và bảo dưỡng lò vi sóng,23,24.25032618035013,11,0,0.0,98
Sửa chữa và bảo dưỡng tủ lạnh,45,26.878216251936006,12,0,0.5,183
Sửa chữa và bảo dưỡng máy in,4,1.7684211397873182,7,1,0.5,102
Sửa chữa và bảo dưỡng điện thoại,27,15.564826634136006,11,0,0.0,89
Sửa chữa và bảo dưỡng máy lạnh,27,0.7369194289832673,22,0,0.0,232
Sửa chữa và bảo dưỡng lò vi sóng,30,2.0232901057036394,23,0,0.5,154
Sửa chữa và bảo dưỡng máy lạnh,20,7.320510527285645,16,1,0.5,191
Sửa chữa và bảo dưỡng điện thoại,1,10.738951716925712,3,0,0.0,35
Sửa chữa và bảo dưỡng nồi cơm điện,24,10.639562001336673,0,0,0.5,77
Sửa chữa và bảo dưỡng xe máy,22,8.225201488390507,7,1,0.0,111
Sửa chữa và bảo dưỡng máy lạnh,14,24.901367339422876,6,0,0.5,158
Sửa chữa và bảo dưỡng điện dân dụng,25,9.057934598413567,21,0,0.5,134
Sửa chữa và bảo dưỡng máy giặt,26,1.7905492439882416,3,0,0.5,191
Sửa chữa và bảo dưỡng laptop,13,3.472186673961531,10,0,0.0,117
Sửa chữa và bảo dưỡng máy tính,8,4.462997570728115,8,1,1.0,91
Sửa chữa và bảo dưỡng nồi cơm điện,1,8.24637863554062,3,0,0.0,22
Sửa chữa và bảo dưỡng máy tính,8,29.48311913446132,14,1,0.0,51
Sửa chữa và bảo dưỡng điện thoại,9,7.036429700811856,0,0,1.0,73
Sửa chữa và bảo dưỡng ô tô,21,0.7717943583631399,7,1,0.5,271
Sửa chữa và bảo dưỡng điện dân dụng,1,4.684092627634348,19,1,0.0,91
Sửa chữa và bảo dưỡng máy giặt,6,11.06843917124472,9,1,0.5,146
Sửa chữa và bảo dưỡng hệ thống nước,25,2.6495504710581987,18,1,0.5,185
Sửa chữa và bảo dưỡng ô tô,15,21.84911507908336,22,0,0.0,159
Sửa chữa và bảo dưỡng điện dân dụng,3,1.2945993948563135,15,1,0.0,96
Sửa chữa và bảo dưỡng điện thoại,18,11.242536822151413,15,1,0.0,82
Sửa chữa và bảo dưỡng tủ lạnh,25,1.5849028954672608,14,1,1.0,181
Sửa chữa và bảo dưỡng ô tô,4,15.730344663250275,1,0,1.0,188
Sửa chữa và bảo dưỡng xe máy,11,19.80780368046363,17,1,1.0,104
Sửa chữa và bảo dưỡng ô tô,7,1.0496084573027678,1,0,0.0,169
Sửa chữa và bảo dưỡng xe máy,3,4.528317722651305,21,0,1.0,90
Sửa chữa và bảo dưỡng máy in,29,2.2711745785123068,16,1,0.0,128
Sửa chữa và bảo dưỡng máy giặt,27,4.919744143671008,5,0,0.5,187
Sửa chữa và bảo dưỡng ô tô,3,29.117293703578042,0,0,0.5,167
Sửa chữa và bảo dưỡng lò vi sóng,2,0.8405544038226519,22,0,0.5,105
Sửa chữa và bảo dưỡng nồi cơm điện,33,29.160910112109566,8,1,0.0,101
Sửa chữa và bảo dưỡng điện thoại,36,1.1483890424496055,1,0,0.0,137
Sửa chữa và bảo dưỡng máy giặt,5,3.6566758853803387,2,0,1.0,91
Sửa chữa và bảo dưỡng ô tô,31,4.37935083913708,6,0,0.0,248
Sửa chữa và bảo dưỡng ô tô,25,23.639339880888425,5,0,0.5,215
Sửa chữa và bảo dưỡng máy lạnh,36,3.119514822992321,22,0,0.0,167
Sửa chữa và bảo dưỡng ô tô,35,9.397237953940717,17,1,0.5,265
Sửa chữa và bảo dưỡng điện thoại,11,0.6538212122651417,15,1,0.5,113
Sửa chữa và bảo dưỡng điện dân dụng,13,15.691343319000095,7,1,0.0,106
Sửa chữa và bảo dưỡng điện dân dụng,11,5.697751092885623,22,0,1.0,103
Sửa chữa và bảo dưỡng điện thoại,5,2.925181576928842,18,1,1.0,90
Sửa chữa và bảo dưỡng máy in,26,8.43616458323744,20,0,0.0,108
Sửa chữa và bảo dưỡng máy lạnh,10,4.618976191969607,11,0,1.0,169
Sửa chữa và bảo dưỡng điện dân dụng,6,27.568733946394143,5,0,0.0,78
Sửa chữa và bảo dưỡng TV,17,1.7309597981351268,18,1,0.5,165
Sửa chữa và bảo dưỡng máy lạnh,33,28.22955642780664,0,0,0.0,184
Sửa chữa và bảo dưỡng nồi cơm điện,20,25.993672782525593,1,0,0.5,74
Sửa chữa và bảo dưỡng laptop,17,5.3765479002557255,23,0,0.0,117
Sửa chữa và bảo dưỡng máy tính,4,22.850789554189404,0,0,0.0,46
Sửa chữa và bảo dưỡng máy giặt,29,3.7824655704947006,21,0,0.5,156
Sửa chữa và bảo dưỡng xe máy,20,2.4071096488771055,21,0,1.0,142
Sửa chữa và bảo dưỡng lò vi sóng,3,5.557932307766001,22,0,1.0,89
Sửa chữa và bảo dưỡng điện dân dụng,29,0.30023494113444105,18,1,0.5,188
Sửa chữa và bảo dưỡng lò vi sóng,18,11.787703247050278,15,1,0.0,104
Sửa chữa và bảo dưỡng hệ thống nước,39,26.83616246259197,11,0,1.0,187
Sửa chữa và bảo dưỡng xe máy,32,6.356050315351563,9,1,0.5,157
Sửa chữa và bảo dưỡng ô tô,11,12.202268069556649,23,0,0.5,179
Sửa chữa và bảo dưỡng điện thoại,16,4.582688091589395,16,1,0.5,96
Sửa chữa và bảo dưỡng máy giặt,18,9.484222170976516,11,0,0.5,143
Sửa chữa và bảo dưỡng xe máy,42,9.507457609141724,11,0,0.5,138
Sửa chữa và bảo dưỡng điện thoại,12,24.362077350537263,10,0,1.0,64
Sửa chữa và bảo dưỡng máy in,14,0.8053520912651276,11,0,1.0,83
Sửa chữa và bảo dưỡng máy in,32,2.81968907426861,3,0,0.5,146
Sửa chữa và bảo dưỡng hệ thống nước,17,1.7995023532847074,4,0,0.0,156
Sửa chữa và bảo dưỡng nồi cơm điện,4,25.001463894350305,23,0,0.0,29
Sửa chữa và bảo dưỡng quạt điện,18,26.576961563603714,10,0,1.0,59
Sửa chữa và bảo dưỡng laptop,23,3.6035384069495726,15,1,1.0,149
Sửa chữa và bảo dưỡng hệ thống nước,8,7.253903575714638,8,1,0.0,133
Sửa chữa và bảo dưỡng ô tô,29,1.1553948213503427,13,0,1.0,290
Sửa chữa và bảo dưỡng ô tô,10,13.16095953545982,4,0,1.0,235
Sửa chữa và bảo dưỡng điện thoại,2,20.353574016893155,16,1,0.5,49
Sửa chữa và bảo dưỡng quạt điện,7,1.7051417386390115,13,0,1.0,64
Sửa chữa và bảo dưỡng máy tính,35,22.601016984376116,18,1,1.0,141
Sửa chữa và bảo dưỡng máy tính,21,13.092186477469141,6,0,0.5,100
Sửa chữa và bảo dưỡng lò vi sóng,19,21.54561293990085,11,0,0.0,83
Sửa chữa và bảo dưỡng máy in,18,22.982280588704587,13,0,0.0,90
Sửa chữa và bảo dưỡng máy tính,38,0.493847682118314,18,1,0.0,169
Sửa chữa và bảo dưỡng tủ lạnh,12,16.355767985108706,0,0,0.0,102
Sửa chữa và bảo dưỡng máy lạnh,12,4.181346047820129,16,1,0.5,166
Sửa chữa và bảo dưỡng máy giặt,21,15.095662747616913,2,0,1.0,145
Sửa chữa và bảo dưỡng laptop,34,0.08220629339163976,0,0,1.0,183
Sửa chữa và bảo dưỡng máy in,4,9.092917518551472,3,0,1.0,73
Sửa chữa và bảo dưỡng điện thoại,17,10.454202814337624,8,1,0.0,78
Sửa chữa và bảo dưỡng nồi cơm điện,7,0.6985642543407478,9,1,1.0,96
Sửa chữa và bảo dưỡng lò vi sóng,2,2.315650083194171,3,0,1.0,92
Sửa chữa và bảo dưỡng nồi cơm điện,3,4.543816472574229,3,0,1.0,51
Sửa chữa và bảo dưỡng máy tính,18,0.3456496837501559,16,1,0.0,121
Sửa chữa và bảo dưỡng ô tô,2,8.433395585436255,5,0,0.0,168
Sửa chữa và bảo dưỡng ô tô,32,29.019766211873893,0,0,1.0,248
Sửa chữa và bảo dưỡng điện dân dụng,1,10.82330017206381,12,0,1.0,75
Sửa chữa và bảo dưỡng nồi cơm điện,8,0.047219916746348956,13,0,1.0,87
Sửa chữa và bảo dưỡng lò vi sóng,5,0.2863537505556828,1,0,1.0,99
Sửa chữa và bảo dưỡng máy in,12,6.271274960041201,21,0,1.0,92
Sửa chữa và bảo dưỡng điện thoại,32,0.002771627350325656,15,1,0.0,151
Sửa chữa và bảo dưỡng máy in,26,13.303722723649113,9,1,1.0,130
Sửa chữa và bảo dưỡng máy tính,1,7.074527485024861,21,0,0.5,67
Sửa chữa và bảo dưỡng xe máy,1,17.5288548259459,23,0,0.0,48
Sửa chữa và bảo dưỡng máy in,2,28.323843351571753,1,0,1.0,60
Sửa chữa và bảo dưỡng lò vi sóng,15,2.333280847449349,12,0,1.0,113
Sửa chữa và bảo dưỡng TV,15,0.7312875006181615,11,0,0.5,127
Sửa chữa và bảo dưỡng tủ lạnh,5,1.0354317581686572,1,0,1.0,143
Sửa chữa và bảo dưỡng máy lạnh,17,7.000844604442399,1,0,0.5,164
Sửa chữa và bảo dưỡng lò vi sóng,19,0.39821589309479233,16,1,1.0,159
Sửa chữa và bảo dưỡng quạt điện,15,11.655632702618206,12,0,0.5,50
Sửa chữa và bảo dưỡng laptop,8,3.3867978615227314,2,0,0.5,107
Sửa chữa và bảo dưỡng ô tô,7,19.87694030528678,3,0,0.0,178
Sửa chữa và bảo dưỡng laptop,20,4.281767509606687,20,0,0.5,129
Sửa chữa và bảo dưỡng quạt điện,3,22.98706492755791,15,1,1.0,46
Sửa chữa và bảo dưỡng ô tô,6,5.975555731636899,15,1,1.0,188
Sửa chữa và bảo dưỡng điện thoại,5,6.546103152456412,6,0,0.0,61
Sửa chữa và bảo dưỡng điện dân dụng,33,0.07988274135067353,11,0,0.0,158
Sửa chữa và bảo dưỡng nồi cơm điện,1,4.2790020302097105,9,1,1.0,63
Sửa chữa và bảo dưỡng máy giặt,16,6.066330898121237,2,0,1.0,143
Sửa chữa và bảo dưỡng TV,20,4.204618304737701,13,0,1.0,131
Sửa chữa và bảo dưỡng điện thoại,14,1.4592802181165232,9,1,0.5,113
Sửa chữa và bảo dưỡng tủ lạnh,15,21.896279372860853,9,1,1.0,141
Sửa chữa và bảo dưỡng laptop,32,9.775453474326119,17,1,0.5,145
Sửa chữa và bảo dưỡng TV,42,0.014929559815131332,14,1,1.0,207
Sửa chữa và bảo dưỡng lò vi sóng,16,9.92830790920205,9,1,1.0,119
Sửa chữa và bảo dưỡng máy tính,14,18.683375025697657,1,0,0.5,77
Sửa chữa và bảo dưỡng máy tính,17,0.23837835951713104,12,0,0.0,106
Sửa chữa và bảo dưỡng tủ lạnh,26,2.4109956342399483,4,0,0.0,160
Sửa chữa và bảo dưỡng laptop,8,13.89530106454042,2,0,0.5,99
Sửa chữa và bảo dưỡng xe máy,22,2.10324884742418,18,1,1.0,136
Sửa chữa và bảo dưỡng máy tính,45,7.35724759823013,10,0,0.0,155
Sửa chữa và bảo dưỡng tủ lạnh,10,2.8809334515710594,3,0,1.0,128
Sửa chữa và bảo dưỡng máy lạnh,3,7.667524825551548,23,0,0.5,151
Sửa chữa và bảo dưỡng nồi cơm điện,10,6.413661667109161,16,1,0.5,80
Sửa chữa và bảo dưỡng điện dân dụng,2,27.74014770095872,13,0,0.5,81
Sửa chữa và bảo dưỡng điện dân dụng,8,0.4629354704029528,13,0,0.5,116
Sửa chữa và bảo dưỡng điện thoại,5,4.307737279014331,10,0,0.0,45
Sửa chữa và bảo dưỡng hệ thống nước,3,0.33455947338599246,0,0,1.0,136
Sửa chữa và bảo dưỡng điện thoại,2,23.20106236198609,1,0,0.5,28
Sửa chữa và bảo dưỡng điện dân dụng,4,0.06081411804827508,7,1,1.0,133
Sửa chữa và bảo dưỡng tủ lạnh,6,3.100723323773621,11,0,1.0,132
Sửa chữa và bảo dưỡng máy lạnh,34,24.28523233066771,15,1,1.0,200
Sửa chữa và bảo dưỡng quạt điện,16,3.236445165424671,7,1,1.0,82
Sửa chữa và bảo dưỡng hệ thống nước,5,0.37769365922149045,16,1,0.0,146
Sửa chữa và bảo dưỡng máy lạnh,14,7.452797359609732,14,1,0.5,180
Sửa chữa và bảo dưỡng hệ thống nước,39,3.0897814289155745,6,0,1.0,186
Sửa chữa và bảo dưỡng điện thoại,17,5.379025124111461,18,1,0.0,93
Sửa chữa và bảo dưỡng TV,12,28.53528826165055,6,0,1.0,116
Sửa chữa và bảo dưỡng điện thoại,1,4.221977882018383,15,1,1.0,61
Sửa chữa và bảo dưỡng máy lạnh,5,24.423401012247442,14,1,0.0,134
Sửa chữa và bảo dưỡng máy lạnh,14,3.316221207135088,1,0,1.0,152
Sửa chữa và bảo dưỡng điện dân dụng,14,8.469361315769108,15,1,0.0,112
Sửa chữa và bảo dưỡng máy lạnh,45,7.246715824001742,17,1,0.0,230
Sửa chữa và bảo dưỡng điện thoại,37,14.355676479227121,23,0,0.5,120
Sửa chữa và bảo dưỡng điện dân dụng,23,1.8669646379000437,8,1,0.5,155
Sửa chữa và bảo dưỡng lò vi sóng,4,5.243548150949236,14,1,0.5,83
Sửa chữa và bảo dưỡng máy in,25,0.23927112516308546,20,0,1.0,152
Sửa chữa và bảo dưỡng laptop,4,27.84263880680906,23,0,1.0,81
Sửa chữa và bảo dưỡng laptop,9,0.811673120149211,11,0,1.0,116
Sửa chữa và bảo dưỡng TV,32,6.065378558585639,16,1,1.0,184
Sửa chữa và bảo dưỡng máy giặt,18,7.729722802960259,1,0,1.0,172
Sửa chữa và bảo dưỡng hệ thống nước,29,0.526159512262036,21,0,0.5,173
Sửa chữa và bảo dưỡng TV,12,2.634416072601832,2,0,0.5,131
Sửa chữa và bảo dưỡng điện dân dụng,3,20.53666279627857,15,1,0.0,74
Sửa chữa và bảo dưỡng tủ lạnh,35,11.307977660878146,17,1,0.5,154
Sửa chữa và bảo dưỡng TV,14,3.7341782707103794,0,0,1.0,124
Sửa chữa và bảo dưỡng lò vi sóng,8,9.7401008214884,21,0,0.5,76
Sửa chữa và bảo dưỡng máy in,14,6.4908602226405065,10,0,0.5,95
Sửa chữa và bảo dưỡng tủ lạnh,8,1.7342763623796755,11,0,1.0,147
Sửa chữa và bảo dưỡng lò vi sóng,2,3.7308207364798265,8,1,0.5,87
Sửa chữa và bảo dưỡng lò vi sóng,38,22.70086393346913,18,1,1.0,157
Sửa chữa và bảo dưỡng điện thoại,16,14.431555885605004,21,0,0.5,66
Sửa chữa và bảo dưỡng laptop,11,4.216548399741065,16,1,0.5,122
Sửa chữa và bảo dưỡng điện thoại,11,3.96272769180076,2,0,0.0,72
Sửa chữa và bảo dưỡng điện dân dụng,15,1.0093427609789731,18,1,1.0,142
Sửa chữa và bảo dưỡng máy giặt,31,0.40869116351358037,20,0,0.0,192
Sửa chữa và bảo dưỡng nồi cơm điện,1,4.308837829239899,23,0,0.0,41
Sửa chữa và bảo dưỡng hệ thống nước,29,7.728315500428566,14,1,1.0,175
Sửa chữa và bảo dưỡng laptop,18,2.577412184561504,14,1,1.0,133
Sửa chữa và bảo dưỡng ô tô,35,17.04168293068755,14,1,1.0,244
Sửa chữa và bảo dưỡng máy giặt,6,17.918582128318516,14,1,1.0,121
Sửa chữa và bảo dưỡng máy lạnh,3,3.0010158259720017,10,0,1.0,147
Sửa chữa và bảo dưỡng máy tính,2,4.101362835824304,11,0,1.0,74
Sửa chữa và bảo dưỡng quạt điện,4,1.1102376091308006,20,0,0.0,56
Sửa chữa và bảo dưỡng máy lạnh,17,4.947954988486345,4,0,1.0,174
Sửa chữa và bảo dưỡng laptop,4,24.142024587095545,6,0,0.5,80
Sửa chữa và bảo dưỡng nồi cơm điện,40,0.05926898755742149,1,0,0.0,134
Sửa chữa và bảo dưỡng máy in,16,6.381952038144937,16,1,0.5,118
Sửa chữa và bảo dưỡng máy giặt,4,19.560778895887733,20,0,0.0,95
Sửa chữa và bảo dưỡng máy lạnh,33,6.732340242927434,19,1,0.0,217
Sửa chữa và bảo dưỡng hệ thống nước,24,3.0768866717350756,9,1,0.0,144
Sửa chữa và bảo dưỡng ô tô,30,18.65306372675397,11,0,0.5,225
Sửa chữa và bảo dưỡng máy tính,11,26.459241892067578,14,1,1.0,86
Sửa chữa và bảo dưỡng TV,3,1.9987448112098745,21,0,0.0,106
Sửa chữa và bảo dưỡng hệ thống nước,11,4.93437894860517,15,1,0.0,107
Sửa chữa và bảo dưỡng máy tính,42,6.399851815396664,15,1,0.5,151
Sửa chữa và bảo dưỡng máy in,8,8.434557750269724,1,0,0.0,70
Sửa chữa và bảo dưỡng máy in,23,22.809554819380747,12,0,0.5,96
Sửa chữa và bảo dưỡng TV,29,2.9914056750037523,11,0,0.5,173
Sửa chữa và bảo dưỡng hệ thống nước,19,21.12536013367859,0,0,1.0,149
Sửa chữa và bảo dưỡng quạt điện,18,1.0511770027407774,4,0,0.5,76
Sửa chữa và bảo dưỡng điện thoại,25,2.738795404493545,17,1,1.0,139
Sửa chữa và bảo dưỡng lò vi sóng,9,12.996226212335111,15,1,0.5,87
Sửa chữa và bảo dưỡng quạt điện,32,2.8685003534921556,14,1,1.0,131
Sửa chữa và bảo dưỡng laptop,15,6.609149095391748,6,0,1.0,123
